#Parameters = {Rmesh=1; F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Z / cm"	"e-field (t=0..end(0.1)) (pic)_Z (Z)"
#----------------------------------------------
-0.63745019920319	1248905.5000000
-0.62749003984064	1243528.2500000
-0.61752988047809	1238150.8750000
-0.60756972111554	1232773.6250000
-0.59760956175299	1227396.2500000
-0.58764940239044	1222019.0000000
-0.57768924302789	1216641.7500000
-0.56772908366534	1211264.3750000
-0.55776892430279	1206193.7500000
-0.54780876494024	1201407.5000000
-0.53784860557769	1196621.2500000
-0.52788844621514	1191835.1250000
-0.51792828685259	1187048.8750000
-0.50796812749004	1182262.7500000
-0.49800796812749	1177476.5000000
-0.48804780876494	1172690.3750000
-0.47808764940239	1167904.1250000
-0.46812749003984	1163117.8750000
-0.45816733067729	1158331.7500000
-0.44820717131474	1153545.5000000
-0.43824701195219	1148759.3750000
-0.42828685258964	1143973.1250000
-0.41832669322709	1139186.8750000
-0.40836653386454	1134400.7500000
-0.39840637450199	1129614.5000000
-0.38844621513944	1124828.3750000
-0.37848605577689	1120042.1250000
-0.36852589641434	1115255.8750000
-0.35856573705179	1086573.6250000
-0.34860557768924	1056423.1250000
-0.33864541832669	1026272.5625000
-0.32868525896414	996122.00000000
-0.31872509960159	965971.50000000
-0.30876494023904	935820.87500000
-0.29880478087649	905670.37500000
-0.28884462151394	875519.75000000
-0.27888446215139	845369.25000000
-0.26892430278884	815218.62500000
-0.25896414342630	785068.12500000
-0.24900398406375	754917.62500000
-0.23904382470120	724767.06250000
-0.22908366533865	694616.50000000
-0.21912350597610	664465.93750000
-0.20916334661355	634315.37500000
-0.19920318725100	604164.87500000
-0.18924302788845	574014.25000000
-0.17928286852590	543863.68750000
-0.16932270916335	513713.18750000
-0.15936254980080	478032.81250000
-0.14940239043825	442316.00000000
-0.13944223107570	406599.21875000
-0.12948207171315	370882.43750000
-0.11952191235060	335165.62500000
-0.10956175298805	299448.84375000
-0.099601593625498	263732.06250000
-0.089641434262948	228015.25000000
-0.079681274900398	192298.46875000
-0.069721115537849	156581.68750000
-0.059760956175299	120864.90625000
-0.049800796812749	85148.093750000
-0.039840637450199	49431.281250000
-0.029880478087649	13714.500000000
-0.019920318725100	-22002.250000000
-0.0099601593625498	-57719.062500000
0.00000000000000	-93435.875000000
0.0099601593625498	-129152.68750000
0.019920318725100	-164869.50000000
0.029880478087649	-200384.67187500
0.039840637450199	-231601.68750000
0.049800796812749	-262818.71875000
0.059760956175299	-294035.75000000
0.069721115537849	-325252.75000000
0.079681274900398	-356469.78125000
0.089641434262948	-387686.78125000
0.099601593625498	-418903.81250000
0.10956175298805	-450120.84375000
0.11952191235060	-481337.84375000
0.12948207171315	-512554.87500000
0.13944223107570	-543771.87500000
0.14940239043825	-574988.93750000
0.15936254980080	-606206.00000000
0.16932270916335	-637423.00000000
0.17928286852590	-668640.00000000
0.18924302788845	-699857.00000000
0.19920318725100	-731074.06250000
0.20916334661355	-762291.06250000
0.21912350597610	-793508.12500000
0.22908366533865	-824101.93750000
0.23904382470120	-848837.25000000
0.24900398406374	-873572.50000000
0.25896414342629	-898307.75000000
0.26892430278884	-923043.00000000
0.27888446215139	-947778.31250000
0.28884462151394	-972513.56250000
0.29880478087649	-997248.87500000
0.30876494023904	-1021984.1250000
0.31872509960159	-1046719.4375000
0.32868525896414	-1071454.6250000
0.33864541832669	-1096190.0000000
0.34860557768924	-1120925.2500000
0.35856573705179	-1145660.5000000
0.36852589641434	-1170395.7500000
0.37848605577689	-1195131.0000000
0.38844621513944	-1219866.2500000
0.39840637450199	-1244601.6250000
0.40836653386454	-1269336.8750000
0.41832669322709	-1294072.2500000
0.42828685258964	-1315483.3750000
0.43824701195219	-1317680.3750000
0.44820717131474	-1319877.2500000
0.45816733067729	-1322074.2500000
0.46812749003984	-1324271.2500000
0.47808764940239	-1326468.1250000
0.48804780876494	-1328665.1250000
0.49800796812749	-1330862.1250000
0.50796812749004	-1333059.0000000
0.51792828685259	-1335256.0000000
0.52788844621514	-1337453.0000000
0.53784860557769	-1339649.8750000
0.54780876494024	-1341846.8750000
0.55776892430279	-1344043.8750000
0.56772908366534	-1346240.7500000
0.57768924302789	-1348437.7500000
0.58764940239044	-1350634.7500000
0.59760956175299	-1352831.7500000
0.60756972111554	-1355028.6250000
0.61752988047809	-1357225.6250000
0.62749003984064	-1357523.2500000
0.63745019920319	-1350167.3750000
0.64741035856574	-1342811.6250000
0.65737051792829	-1335455.8750000
0.66733067729084	-1328100.0000000
0.67729083665339	-1320744.2500000
0.68725099601594	-1313388.5000000
0.69721115537849	-1306032.7500000
0.70717131474104	-1298676.8750000
0.71713147410359	-1291321.1250000
0.72709163346614	-1283965.3750000
0.73705179282869	-1276609.5000000
0.74701195219123	-1269253.7500000
0.75697211155378	-1261898.0000000
0.76693227091633	-1254542.2500000
0.77689243027888	-1247186.3750000
0.78685258964143	-1239830.6250000
0.79681274900398	-1232474.7500000
0.80677290836653	-1225119.0000000
0.81673306772908	-1217763.2500000
0.82669322709163	-1208050.5000000
0.83665338645418	-1191273.3750000
0.84661354581673	-1174496.2500000
0.85657370517928	-1157719.0000000
0.86653386454183	-1140941.7500000
0.87649402390438	-1124164.6250000
0.88645418326693	-1107387.5000000
0.89641434262948	-1090610.2500000
0.90637450199203	-1073833.1250000
0.91633466135458	-1057055.8750000
0.92629482071713	-1040278.8125000
0.93625498007968	-1023501.6250000
0.94621513944223	-1006724.4375000
0.95617529880478	-989947.25000000
