#Parameters = {Rmesh=1; F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Y / cm"	"e-field (t=0..end(0.1)) (pic)_Y (Y)"
#----------------------------------------------
0.85074626865672	-311700.15625000
0.86069651741294	-305666.93750000
0.87064676616915	-301014.03125000
0.88059701492537	-296385.37500000
0.89054726368159	-292135.90625000
0.90049751243781	-287928.21875000
0.91044776119403	-284513.90625000
0.92039800995025	-281102.31250000
0.93034825870647	-277754.93750000
0.94029850746269	-274378.96875000
0.95024875621891	-270076.90625000
0.96019900497512	-265771.00000000
0.97014925373134	-261276.04687500
0.98009950248756	-256791.96875000
0.99004975124378	-253381.34375000
1.0000000000000	-249970.75000000
