#Parameters = {kz=-1; eps0=8.854e-012; rho=0.058284280917442; V=5.719094892935e-008; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=0.53333333333333; Rz=16; iy=0.1}
#"Z / mm"	"E-Field (Es)_Z (Z)_1"
#-------------------------------
-1.8133333333333	-78482.585937500
-1.7866666666667	-77322.507812500
-1.7600000000000	-76162.421875000
-1.7333333333333	-74979.835937500
-1.7066666666667	-73783.726562500
-1.6800000000000	-72587.617187500
-1.6533333333333	-71391.515625000
-1.6266666666667	-70195.421875000
-1.6000000000000	-68999.320312500
-1.5733333333333	-67803.210937500
-1.5466666666667	-66607.101562500
-1.5200000000000	-65411.003906250
-1.4933333333333	-64218.875000000
-1.4666666666667	-63038.671875000
-1.4400000000000	-61858.468750000
-1.4133333333333	-60678.261718750
-1.3866666666667	-59498.054687500
-1.3600000000000	-58317.855468750
-1.3333333333333	-57137.648437500
-1.3066666666667	-55957.441406250
-1.2800000000000	-54777.238281250
-1.2533333333333	-53597.031250000
-1.2266666666667	-52454.582031250
-1.2000000000000	-51317.527343750
-1.1733333333333	-50180.464843750
-1.1466666666667	-49043.410156250
-1.1200000000000	-47906.351562500
-1.0933333333333	-46769.296875000
-1.0666666666667	-45632.238281250
-1.0400000000000	-44495.175781250
-1.0133333333333	-43358.121093750
-0.98666666666667	-42231.429687500
-0.96000000000000	-41115.105468750
-0.93333333333333	-39998.777343750
-0.90666666666667	-38882.457031250
-0.88000000000000	-37766.128906250
-0.85333333333333	-36649.804687500
-0.82666666666667	-35533.476562500
-0.80000000000000	-34417.156250000
-0.77333333333333	-33300.828125000
-0.74666666666667	-32184.033203125
-0.72000000000000	-31063.951171875
-0.69333333333333	-29943.865234375
-0.66666666666667	-28823.781250000
-0.64000000000000	-27703.697265625
-0.61333333333333	-26583.615234375
-0.58666666666667	-25463.529296875
-0.56000000000000	-24343.447265625
-0.53333333333333	-23223.365234375
-0.50666666666667	-22103.279296875
-0.48000000000000	-20964.386718750
-0.45333333333333	-19819.224609375
-0.42666666666667	-18674.062500000
-0.40000000000000	-17528.898437500
-0.37333333333333	-16383.736328125
-0.34666666666667	-15238.572265625
-0.32000000000000	-14093.410156250
-0.29333333333333	-12948.247070313
-0.26666666666667	-11803.084960938
-0.24000000000000	-10643.699218750
-0.21333333333333	-9460.6103515625
-0.18666666666667	-8277.5195312500
-0.16000000000000	-7094.4296875000
-0.13333333333333	-5911.3398437500
-0.10666666666667	-4728.2500000000
-0.079999999999998	-3545.1596679688
-0.053333333333333	-2362.0698242188
-0.026666666666666	-1178.9797363281
0.00000000000000	4.1105060577393
0.026666666666667	1187.1662597656
0.053333333333335	2370.2221679688
0.080000000000002	3553.2778320313
0.10666666666667	4736.3334960938
0.13333333333333	5919.3896484375
0.16000000000000	7102.4453125000
0.18666666666667	8285.5009765625
0.21333333333333	9468.5566406250
0.24000000000000	10651.612304688
0.26666666666667	11810.932617188
0.29333333333333	12956.008789063
