#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Z / mm"	"E-Field (Es)_Z (Z)"
#-----------------------------
-47.216000000000	-66.899681091309
-47.208000000000	-66.967727661133
-47.200000000000	-67.035774230957
-47.192000000000	-67.103820800781
-47.184000000000	-67.171905517578
-47.176000000000	-67.239952087402
-47.168000000000	-67.307998657227
-47.160000000000	-67.376045227051
-47.152000000000	-67.444091796875
-47.144000000000	-67.512145996094
-47.136000000000	-67.580192565918
-47.128000000000	-67.648269653320
-47.120000000000	-67.716316223145
-47.112000000000	-67.784370422363
-47.104000000000	-67.852416992188
-47.096000000000	-67.920463562012
-47.088000000000	-67.988510131836
-47.080000000000	-68.056556701660
-47.072000000000	-68.124641418457
-47.064000000000	-68.192687988281
-47.056000000000	-68.260734558105
-47.048000000000	-68.328781127930
-47.040000000000	-68.396827697754
-47.032000000000	-68.464874267578
-47.024000000000	-68.532958984375
-47.016000000000	-68.601005554199
-47.008000000000	-68.669052124023
-47.000000000000	-68.738166809082
-46.992000000000	-68.813003540039
-46.984000000000	-68.887832641602
-46.976000000000	-68.962669372559
-46.968000000000	-69.037536621094
-46.960000000000	-69.112373352051
-46.952000000000	-69.187202453613
-46.944000000000	-69.262039184570
-46.936000000000	-69.336875915527
-46.928000000000	-69.411705017090
-46.920000000000	-69.486579895020
-46.912000000000	-69.561408996582
-46.904000000000	-69.636245727539
-46.896000000000	-69.711082458496
-46.888000000000	-69.785911560059
-46.880000000000	-69.860748291016
-46.872000000000	-69.935585021973
-46.864000000000	-70.010452270508
-46.856000000000	-70.085281372070
-46.848000000000	-70.160118103027
-46.840000000000	-70.234954833984
-46.832000000000	-70.309783935547
-46.824000000000	-70.384620666504
-46.816000000000	-70.459457397461
-46.808000000000	-70.534324645996
-46.800000000000	-70.609161376953
-46.792000000000	-70.683990478516
-46.784000000000	-70.758827209473
-46.776000000000	-70.833663940430
-46.768000000000	-70.908493041992
-46.760000000000	-70.983367919922
-46.752000000000	-71.058197021484
-46.744000000000	-71.139480590820
-46.736000000000	-71.221328735352
-46.728000000000	-71.303176879883
-46.720000000000	-71.385025024414
-46.712000000000	-71.466873168945
-46.704000000000	-71.548759460449
-46.696000000000	-71.630607604980
-46.688000000000	-71.712455749512
-46.680000000000	-71.794303894043
-46.672000000000	-71.876152038574
-46.664000000000	-71.958000183105
-46.656000000000	-72.039886474609
-46.648000000000	-72.121734619141
-46.640000000000	-72.203582763672
-46.632000000000	-72.285430908203
-46.624000000000	-72.367279052734
-46.616000000000	-72.449127197266
-46.608000000000	-72.530975341797
-46.600000000000	-72.612861633301
-46.592000000000	-72.694702148438
-46.584000000000	-72.776550292969
-46.576000000000	-72.858398437500
