#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Y / mm"	"E-Field (Es)_Y (Y)"
#-----------------------------
-8.2560000000000	-560886.18750000
-8.2480000000000	-561512.87500000
-8.2400000000000	-562139.62500000
-8.2320000000000	-562766.31250000
-8.2240000000000	-563393.06250000
-8.2160000000000	-564019.81250000
-8.2080000000000	-564646.43750000
-8.2000000000000	-565273.18750000
-8.1920000000000	-565899.87500000
-8.1840000000000	-566526.62500000
-8.1760000000000	-567153.37500000
-8.1680000000000	-567780.06250000
-8.1600000000000	-568406.81250000
-8.1520000000000	-569033.50000000
-8.1440000000000	-569660.25000000
-8.1360000000000	-570287.00000000
-8.1280000000000	-570913.62500000
-8.1200000000000	-571540.37500000
-8.1120000000000	-572167.06250000
-8.1040000000000	-572793.81250000
-8.0960000000000	-573420.56250000
-8.0880000000000	-574047.25000000
-8.0800000000000	-574674.00000000
-8.0720000000000	-575300.75000000
-8.0640000000000	-575927.37500000
-8.0560000000000	-576554.12500000
-8.0480000000000	-577180.81250000
-8.0400000000000	-577807.56250000
-8.0320000000000	-578477.93750000
-8.0240000000000	-579212.50000000
-8.0160000000000	-579947.06250000
-8.0080000000000	-580681.62500000
-8.0000000000000	-581416.18750000
-7.9920000000000	-582150.75000000
-7.9840000000000	-582885.31250000
-7.9760000000000	-583619.93750000
-7.9680000000000	-584354.50000000
-7.9600000000000	-585089.06250000
-7.9520000000000	-585823.62500000
-7.9440000000000	-586558.25000000
-7.9360000000000	-587292.81250000
-7.9280000000000	-588027.37500000
-7.9200000000000	-588761.93750000
-7.9120000000000	-589496.50000000
-7.9040000000000	-590231.06250000
-7.8960000000000	-590965.62500000
-7.8880000000000	-591700.18750000
-7.8800000000000	-592434.75000000
-7.8720000000000	-593169.31250000
-7.8640000000000	-593903.93750000
-7.8560000000000	-594638.50000000
-7.8480000000000	-595373.06250000
-7.8400000000000	-596107.62500000
-7.8320000000000	-596842.18750000
-7.8240000000000	-597576.75000000
-7.8160000000000	-598311.31250000
-7.8080000000000	-599045.87500000
-7.8000000000000	-599780.43750000
-7.7920000000000	-600515.06250000
-7.7840000000000	-601333.18750000
-7.7760000000000	-602186.18750000
-7.7680000000000	-603039.18750000
-7.7600000000000	-603892.18750000
-7.7520000000000	-604745.25000000
-7.7440000000000	-605598.25000000
-7.7360000000000	-606451.31250000
-7.7280000000000	-607304.31250000
-7.7200000000000	-608157.37500000
-7.7120000000000	-609010.37500000
-7.7040000000000	-609863.37500000
-7.6960000000000	-610716.37500000
-7.6880000000000	-611569.37500000
-7.6800000000000	-612422.43750000
-7.6720000000000	-613275.50000000
-7.6640000000000	-614128.50000000
-7.6560000000000	-614981.50000000
-7.6480000000000	-615834.56250000
-7.6400000000000	-616687.56250000
-7.6320000000000	-617540.56250000
-7.6240000000000	-618393.62500000
-7.6160000000000	-619246.62500000
-7.6080000000000	-620099.68750000
-7.6000000000000	-620952.68750000
-7.5920000000000	-621805.68750000
-7.5840000000000	-622658.68750000
-7.5760000000000	-623511.75000000
-7.5680000000000	-624364.81250000
-7.5600000000000	-625217.81250000
-7.5520000000000	-626070.81250000
-7.5440000000000	-626924.56250000
-7.5360000000000	-627908.93750000
-7.5280000000000	-628893.25000000
-7.5200000000000	-629877.62500000
-7.5120000000000	-630861.93750000
-7.5040000000000	-631846.25000000
-7.4960000000000	-632830.62500000
-7.4880000000000	-633814.93750000
-7.4800000000000	-634799.31250000
-7.4720000000000	-635783.62500000
-7.4640000000000	-636767.93750000
-7.4560000000000	-637752.31250000
-7.4480000000000	-638736.62500000
-7.4400000000000	-639721.00000000
-7.4320000000000	-640705.31250000
-7.4240000000000	-641689.68750000
-7.4160000000000	-642674.00000000
-7.4080000000000	-643658.31250000
-7.4000000000000	-644642.68750000
-7.3920000000000	-645627.00000000
-7.3840000000000	-646611.37500000
-7.3760000000000	-647595.68750000
-7.3680000000000	-648580.00000000
-7.3600000000000	-649564.37500000
-7.3520000000000	-650548.68750000
-7.3440000000000	-651533.06250000
-7.3360000000000	-652517.37500000
-7.3280000000000	-653501.68750000
-7.3200000000000	-654486.06250000
-7.3120000000000	-655470.43750000
-7.3040000000000	-656454.75000000
-7.2960000000000	-657484.06250000
-7.2880000000000	-658615.25000000
-7.2800000000000	-659746.43750000
-7.2720000000000	-660877.68750000
-7.2640000000000	-662008.87500000
-7.2560000000000	-663140.00000000
-7.2480000000000	-664271.18750000
-7.2400000000000	-665402.43750000
-7.2320000000000	-666533.62500000
-7.2240000000000	-667664.81250000
-7.2160000000000	-668796.00000000
-7.2080000000000	-669927.18750000
-7.2000000000000	-671058.43750000
-7.1920000000000	-672189.62500000
-7.1840000000000	-673320.81250000
-7.1760000000000	-674452.00000000
-7.1680000000000	-675583.12500000
-7.1600000000000	-676714.37500000
-7.1520000000000	-677845.56250000
-7.1440000000000	-678976.75000000
-7.1360000000000	-680107.93750000
-7.1280000000000	-681239.18750000
-7.1200000000000	-682370.37500000
-7.1120000000000	-683501.56250000
-7.1040000000000	-684632.75000000
-7.0960000000000	-685763.93750000
-7.0880000000000	-686895.18750000
-7.0800000000000	-688026.37500000
-7.0720000000000	-689157.50000000
-7.0640000000000	-690288.68750000
-7.0560000000000	-691419.87500000
-7.0480000000000	-692651.68750000
-7.0400000000000	-693948.56250000
-7.0320000000000	-695245.43750000
-7.0240000000000	-696542.25000000
-7.0160000000000	-697839.18750000
-7.0080000000000	-699136.06250000
-7.0000000000000	-700432.93750000
-6.9920000000000	-701729.81250000
-6.9840000000000	-703026.62500000
-6.9760000000000	-704323.56250000
-6.9680000000000	-705620.43750000
-6.9600000000000	-706917.31250000
-6.9520000000000	-708214.18750000
-6.9440000000000	-709511.12500000
-6.9360000000000	-710807.93750000
-6.9280000000000	-712104.81250000
-6.9200000000000	-713401.68750000
-6.9120000000000	-714698.56250000
-6.9040000000000	-715995.50000000
-6.8960000000000	-717292.31250000
-6.8880000000000	-718589.18750000
-6.8800000000000	-719886.06250000
-6.8720000000000	-721182.93750000
-6.8640000000000	-722479.87500000
-6.8560000000000	-723776.68750000
-6.8480000000000	-725073.56250000
-6.8400000000000	-726370.43750000
-6.8320000000000	-727667.37500000
-6.8240000000000	-728964.25000000
-6.8160000000000	-730261.12500000
-6.8080000000000	-731557.93750000
-6.8000000000000	-733025.87500000
-6.7920000000000	-734511.37500000
-6.7840000000000	-735996.81250000
-6.7760000000000	-737482.18750000
-6.7680000000000	-738967.56250000
-6.7600000000000	-740453.00000000
-6.7520000000000	-741938.50000000
-6.7440000000000	-743423.87500000
-6.7360000000000	-744909.25000000
-6.7280000000000	-746394.68750000
-6.7200000000000	-747880.18750000
-6.7120000000000	-749365.56250000
-6.7040000000000	-750850.93750000
-6.6960000000000	-752336.37500000
-6.6880000000000	-753821.75000000
-6.6800000000000	-755307.25000000
-6.6720000000000	-756792.62500000
-6.6640000000000	-758278.06250000
-6.6560000000000	-759763.43750000
-6.6480000000000	-761248.93750000
-6.6400000000000	-762734.31250000
-6.6320000000000	-764219.75000000
-6.6240000000000	-765705.12500000
-6.6160000000000	-767190.50000000
-6.6080000000000	-768676.00000000
-6.6000000000000	-770161.43750000
-6.5920000000000	-771646.81250000
-6.5840000000000	-773132.18750000
-6.5760000000000	-774617.62500000
-6.5680000000000	-776103.12500000
-6.5600000000000	-777633.50000000
-6.5520000000000	-779335.31250000
-6.5440000000000	-781037.12500000
-6.5360000000000	-782739.00000000
-6.5280000000000	-784440.81250000
-6.5200000000000	-786142.62500000
-6.5120000000000	-787844.37500000
-6.5040000000000	-789546.18750000
-6.4960000000000	-791248.06250000
-6.4880000000000	-792949.87500000
-6.4800000000000	-794651.68750000
-6.4720000000000	-796353.50000000
-6.4640000000000	-798055.25000000
-6.4560000000000	-799757.18750000
-6.4480000000000	-801458.93750000
-6.4400000000000	-803160.75000000
-6.4320000000000	-804862.56250000
-6.4240000000000	-806564.43750000
-6.4160000000000	-808266.25000000
-6.4080000000000	-809968.06250000
-6.4000000000000	-811669.87500000
-6.3920000000000	-813371.62500000
-6.3840000000000	-815073.56250000
-6.3760000000000	-816775.31250000
-6.3680000000000	-818477.12500000
-6.3600000000000	-820178.93750000
-6.3520000000000	-821880.75000000
-6.3440000000000	-823582.62500000
-6.3360000000000	-825284.43750000
-6.3280000000000	-826986.18750000
-6.3200000000000	-828688.00000000
-6.3120000000000	-830517.37500000
-6.3040000000000	-832469.68750000
-6.2960000000000	-834422.06250000
-6.2880000000000	-836374.43750000
-6.2800000000000	-838326.75000000
-6.2720000000000	-840279.25000000
-6.2640000000000	-842231.62500000
-6.2560000000000	-844183.93750000
-6.2480000000000	-846136.31250000
