x[cm]	x'[mrad]            y[cm]           y'[mrad]		
0.01005	-0.0050913	0.05915	0.029
-0.03519	-0.043317	-0.06622	-0.01538
0.08177	-0.028395	0.04246	0.011298
0.08457	-0.0053508	-0.00445	-0.0033089
0.00219	0.041342	0.01283	-0.0011006
-0.0531	0.0020797	0.01727	0.030002
-0.12673	0.0051575	-0.05995	0.015068
0.03402	-0.039739	0.01409	0.00026294
0.02176	0.025991	-0.02651	-0.017993
-0.10819	-0.00023131	0.02359	0.020248
0.03801	0.032519	-0.11318	-0.0062988
-0.02732	-0.00039327	-0.12927	0.016542
-0.01307	-0.0048601	0.02969	0.035161
0.02046	-0.010828	-0.06207	-0.026091
0.09441	0.01929	-0.00335	-0.041546
-0.08181	-0.0088149	-0.03806	0.0036357
0.05343	0.051024	0.01919	0.0068383
-0.10462	-0.0070738	-0.06937	0.017829
-0.03433	-0.030708	-0.07429	-0.025833
-0.04272	0.046277	0.04567	-0.0075673
-0.06833	-0.031183	0.06117	-0.023852
-0.09774	0.020212	0.05442	0.0087005
-0.1103	0.0080803	0.06319	-0.0077091
0.00427	-0.032687	-0.01935	-0.012985
-0.07252	-0.024701	-0.03213	-0.030119
-0.06041	0.046203	-0.00685	0.00039434
-0.06784	0.015443	-0.00005749	0.011819
-0.02479	0.001649	0.00415	-0.035328
-0.03349	0.0035165	0.00578	-0.020387
-0.08032	0.00031595	-0.09669	0.0025581
-0.02509	0.01325	-0.03254	-0.006615
-0.01226	0.0051738	0.09464	-0.029494
-0.0135	0.027892	-0.04277	-0.0045315
-0.09423	0.0054623	-0.04971	-0.022836
-0.00834	0.00040363	-0.01645	-0.014992
0.05119	-0.041066	-0.08759	-0.0038514
0.0362	-0.006553	0.14983	-0.008547
-0.00235	-0.011837	-0.13787	0.02256
-0.09165	-0.0046559	-0.02785	-0.0050103
0.01279	-0.0032571	0.05279	0.029296
0.00352	0.01669	0.11596	0.017512
0.06697	-0.0078991	0.05785	-0.0046723
-0.08074	-0.022529	-0.01992	0.040056
0.00983	-0.02962	0.06199	0.012456
-0.00277	0.048765	-0.03465	0.0066147
-0.01826	-0.0020421	-0.1272	0.02194
0.0158	0.0091238	-0.07575	0.012372
-0.07525	0.02839	0.05662	0.019579
0.03689	-0.022206	-0.09113	-0.023557
0.0448	-0.01165	-0.06254	0.023403
-0.04823	0.03364	-0.03874	0.028432
-0.09131	-0.0035443	-0.07476	-0.036245
-0.01939	-0.016416	0.02129	-0.028472
-0.05295	-0.032441	0.05447	0.0063342
0.11018	0.0020005	0.03312	0.020151
0.07803	-0.039649	-0.08213	-0.00039889
-0.01868	-0.012211	-0.00439	0.011429
0.07686	-0.022926	0.00356	-0.0022035
-0.00318	-0.033825	0.06349	-0.011426
0.05395	-0.021582	-0.02835	0.00021454
-0.05801	0.019662	0.03329	-0.04498
-0.057	-0.032602	-0.03864	-0.0025098
-0.07085	-0.033801	-0.0983	0.0045647
-0.12529	0.028058	-0.02362	0.011412
0.02661	0.042759	0.00012269	0.019568
-0.02525	-0.00092074	-0.01326	-0.047713
0.08076	0.0053967	-0.01595	0.03934
0.00793	0.027743	0.12347	-0.016521
-0.11574	0.024594	-0.02888	0.024307
0.10418	0.018654	-0.05567	-0.028913
0.11682	0.0061988	0.02141	-0.026403
-0.01169	-0.040401	0.03634	0.032624
-0.07877	0.019493	-0.12518	0.0046286
0.01993	-0.0071268	-0.06968	0.046932
0.07142	0.011283	-0.06894	-0.040694
0.00318	0.028145	0.01734	-0.02222
0.0653	0.0083063	0.10857	0.013245
0.07704	0.0055767	0.04071	0.031459
0.11532	-0.023191	-0.02209	-0.010699
0.08558	0.0027173	0.11404	0.0097594
-0.0835	0.014096	-0.12087	-0.012845
-0.00991	-0.0080411	-0.08837	-0.033274
-0.09657	-0.00077025	-0.10465	0.020519
-0.08865	-0.0013916	-0.04771	-0.040332
0.02025	0.029378	0.10565	-0.0069379
-0.02732	-0.0093705	-0.00521	-0.013336
0.03015	-0.016664	-0.13452	-0.0183
-0.03405	0.018322	-0.09053	0.023945
0.03147	0.00018921	-0.14282	-0.013136
0.11988	0.032057	-0.03447	-0.0035215
0.00023903	0.0035639	0.0613	-0.047148
-0.01446	0.0030377	-0.0944	0.022684
0.11427	0.0065677	-0.07234	-0.023872
0.02972	-0.022204	-0.00703	0.0076778
0.06082	-0.037972	-0.05022	0.012627
0.10679	0.021554	-0.05332	0.015177
-0.08412	-0.010219	-0.06978	-0.037822
0.04541	0.0039361	0.12954	-0.026918
-0.1025	-0.026105	-0.01756	-0.012119
-0.04393	-0.013153	-0.04808	-0.0092073
-0.12327	0.0023846	0.02946	-0.023026
0.0597	0.003921	0.03649	-0.028726
-0.08246	0.0051697	-0.11071	0.011241
0.07906	0.039408	-0.02923	-0.0083285
0.08277	0.030563	0.06841	0.02607
0.12915	0.012694	-0.01021	0.0095053
0.02966	0.02093	-0.11177	0.001384
-0.13163	0.018468	-0.06441	-0.0029847
0.03123	-0.026271	-0.04937	-0.017597
0.03634	0.025219	0.08873	0.010548
0.08449	0.012833	-0.02445	0.044079
0.05831	-0.005835	-0.04631	-0.02485
-0.05231	-0.018047	-0.07595	-0.011626
-0.03399	0.036389	0.00637	-0.01589
-0.01268	-0.011534	0.10972	0.0074585
-0.01419	-0.031011	0.04025	0.0042121
0.06072	-0.042972	-0.02215	0.016109
0.04458	-0.00013079	0.08331	0.030794
-0.13305	-0.011753	0.07763	-0.015833
-0.10911	-0.012947	-0.04985	-0.032913
-0.11175	0.021655	0.03872	0.02471
-0.02814	-0.021894	-0.04846	-0.0065582
0.00915	-0.022065	-0.00724	0.038168
0.0865	0.010508	-0.05115	0.041497
0.11507	0.0064312	0.05505	-0.02248
-0.09186	0.0015694	-0.00059187	0.023133
-0.00957	0.012298	0.05341	-0.0387
-0.086	0.015283	-0.05783	0.037662
0.00157	0.010735	0.03139	0.0031671
-0.01334	0.045999	0.07793	-0.010129
-0.00542	0.017603	0.06346	0.014574
0.0352	-0.029461	0.06475	0.030313
0.06411	0.0050583	-0.05439	0.042375
0.04662	-0.030834	-0.08163	0.033985
0.08169	-0.007954	-0.03951	0.033465
-0.02924	0.0017568	0.09899	-0.012678
0.00967	-0.022723	-0.1281	-0.020814
-0.05153	0.0098911	-0.12049	0.012104
-0.10881	0.0022723	0.04695	0.032252
0.10607	0.0075117	0.11	-0.0031888
-0.00095207	0.0085413	-0.06449	0.0021334
0.09721	-0.011604	-0.07794	-0.010828
0.11777	-0.00057036	-0.04311	0.0025188
0.07667	0.01615	-0.0819	0.037331
-0.01808	-0.014398	-0.06049	0.0084966
0.01985	0.037781	0.05984	0.0070262
-0.08983	0.034925	-0.01772	0.027679
0.13041	0.030362	-0.04426	-0.0010379
-0.0635	-0.016411	-0.06661	0.035276
0.05684	0.015388	-0.09617	0.03605
0.0019	-0.023087	-0.12337	0.021856
0.03119	-0.00021726	0.06403	0.0088393
0.03805	0.0081117	-0.0241	-0.022266
0.02128	0.012785	-0.10593	0.007973
-0.0267	0.0062127	0.05511	0.017945
-0.01177	0.031334	-0.12696	0.01207
0.03212	-0.0090925	-0.01257	0.03637
-0.05182	0.050474	-0.0257	0.012399
0.06824	-0.012097	0.06261	-0.042591
0.0278	0.033914	0.07271	0.0099936
0.07103	0.02806	0.08702	0.016629
-0.02861	0.011441	-0.1065	0.018558
0.0602	0.027454	-0.09836	0.018757
0.02507	-0.030926	-0.01507	0.039779
-0.07875	0.019332	0.08962	0.023755
-0.05348	-0.01151	-0.01409	-0.046045
