 Nseed      iq         dt[nsec]           dW[MeV]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.31111E-01      -0.86915E-08      -0.68065E-01      -0.15924E+02       0.10189E+00      -0.33371E+02
      0      1      -0.33359E-01      -0.22270E-07       0.13626E+00       0.23032E+01      -0.66313E-01       0.75667E+01
      0      1      -0.32622E-01      -0.11441E-07       0.48673E-01       0.21089E+01       0.15516E+00      -0.10717E+02
      0      1       0.27737E-01       0.25708E-07       0.50382E-01       0.38811E+01       0.25640E-01      -0.44671E+02
      0      1      -0.38561E-01      -0.43932E-08      -0.62657E-01       0.11952E+02      -0.69788E-01       0.15811E+02
      0      1      -0.32305E-01      -0.52727E-09      -0.68960E-01      -0.20471E+02      -0.81492E-01       0.40824E+00
      0      1      -0.37556E-01       0.41893E-08       0.76608E-01       0.18256E+02      -0.84100E-01      -0.27048E+02
      0      1      -0.26510E-01       0.24278E-07      -0.57183E-01      -0.39660E+02      -0.99299E-02       0.18567E+02
      0      1       0.24913E-01      -0.14834E-07       0.26466E-01       0.23694E+02       0.18908E-01      -0.25076E+02
      0      1      -0.12994E-01      -0.20936E-07      -0.53122E-01       0.63367E+01      -0.33694E-01      -0.51265E+01
      0      1      -0.41834E-02      -0.99123E-09       0.45657E-03      -0.20221E+01      -0.11664E+00      -0.69205E+01
      0      1       0.20558E-01       0.17175E-07       0.59783E-01       0.27457E+02       0.57276E-01       0.36768E+01
      0      1       0.32717E-01      -0.21244E-07      -0.18377E-01      -0.38363E+00       0.22913E-01       0.40186E+02
      0      1      -0.54040E-02       0.92712E-08       0.56099E-01      -0.22480E+02       0.90216E-01       0.14211E+02
      0      1      -0.19818E-01       0.21354E-07      -0.12414E+00       0.43291E+01      -0.88012E-01      -0.19332E+02
      0      1      -0.14363E-01      -0.24955E-07       0.11278E+00       0.79263E+01      -0.21043E-01      -0.22874E+02
      0      1      -0.40321E-01       0.62431E-08       0.25764E-01      -0.13111E+02       0.59462E-01       0.10043E+02
      0      1       0.20832E-01       0.25514E-07       0.11968E+00       0.67159E+01       0.52861E-01      -0.22395E+02
      0      1       0.14057E-02      -0.14006E-07       0.49111E-01       0.78756E+01       0.94388E-01       0.14211E+02
      0      1      -0.14266E-01       0.16575E-07      -0.69116E-01      -0.53975E+01      -0.22756E-01      -0.47647E+02
      0      1       0.64659E-03      -0.23498E-07       0.10367E+00       0.21622E+02       0.11168E-01       0.15079E+02
      0      1      -0.37455E-01      -0.13260E-07       0.39000E-01       0.11939E+02      -0.36137E-01      -0.16164E+00
      0      1       0.99715E-02       0.13839E-07       0.54691E-01      -0.97464E+01       0.72973E-01       0.19755E+02
      0      1      -0.21716E-01       0.19395E-07      -0.65453E-01       0.41301E+02      -0.67483E-01       0.19792E+02
      0      1      -0.34780E-01       0.38886E-08       0.85285E-01      -0.10192E+02      -0.36785E-01       0.40903E+02
      0      1      -0.39313E-03      -0.41556E-08       0.21309E-01      -0.43572E+02       0.91824E-01       0.89664E+01
      0      1       0.10484E-01       0.90339E-08       0.54868E-01      -0.20767E+02       0.21960E-01       0.44482E+02
      0      1      -0.16064E-01      -0.18172E-07      -0.47758E-01       0.40941E+01       0.82544E-01      -0.96894E+01
      0      1       0.31523E-03      -0.10625E-07      -0.19275E-01      -0.24082E+02       0.13291E+00       0.18959E+02
      0      1      -0.19070E-01       0.26085E-07       0.61534E-01       0.41242E+02      -0.30575E-01      -0.50938E+01
      0      1      -0.33997E-01      -0.21009E-07      -0.11739E+00      -0.12641E+02       0.22830E-01       0.21824E+02
      0      1       0.17768E-01      -0.89086E-08       0.71439E-01      -0.66682E+01       0.13551E-01       0.87624E+01
      0      1      -0.48462E-02       0.23925E-07      -0.18333E-01       0.20147E+02       0.12351E+00      -0.11556E+02
      0      1       0.42117E-01       0.94930E-08       0.65777E-01      -0.26177E+01      -0.99092E-01       0.11916E+02
      0      1       0.29092E-01       0.42958E-08       0.80261E-01       0.25616E+01      -0.58271E-01      -0.15037E+02
      0      1       0.10352E-01      -0.19634E-08       0.76919E-02       0.19958E+02      -0.60156E-01      -0.11581E+01
      0      1       0.30338E-01       0.22178E-07       0.29242E-01      -0.92854E+01      -0.59293E-01       0.46424E+02
      0      1       0.52086E-02      -0.60674E-10       0.25392E-03      -0.24332E+02      -0.11228E+00       0.30582E+02
      0      1       0.96924E-02       0.46571E-08      -0.10216E+00      -0.89988E+01       0.34648E-01       0.39409E+01
      0      1      -0.86773E-02       0.99118E-09      -0.10405E-01       0.28078E+02      -0.71940E-02      -0.13079E+02
      0      1       0.95819E-02      -0.89397E-08       0.88289E-01       0.15246E+02       0.85580E-01      -0.29024E+02
      0      1      -0.26024E-01      -0.24924E-07      -0.69954E-01      -0.20279E+02      -0.82898E-01       0.27864E+02
      0      1       0.20354E-01      -0.75775E-08      -0.10444E-01       0.34787E+02       0.42368E-01      -0.40400E+02
      0      1      -0.20140E-02      -0.14213E-07       0.53260E-01      -0.13703E+02      -0.68934E-01       0.12787E+02
      0      1       0.43432E-01       0.76176E-08      -0.68864E-01      -0.38752E+02       0.20500E-01      -0.10135E+02
      0      1      -0.21317E-01      -0.22241E-07       0.98021E-01      -0.28925E+00       0.10740E+00       0.68590E+01
      0      1       0.19009E-01       0.16930E-07       0.53879E-01       0.41244E+01      -0.61589E-01      -0.18335E+02
      0      1      -0.30842E-01       0.67431E-08       0.96398E-01       0.31092E+02       0.70805E-01       0.57657E+01
      0      1      -0.33895E-01       0.19559E-07       0.38082E-01      -0.10053E+02      -0.24732E-01       0.88845E+01
      0      1       0.30854E-01       0.99158E-09      -0.30138E-01      -0.17530E+01       0.92565E-01       0.40060E+02
      0      1      -0.30897E-01       0.13542E-08      -0.18778E-01      -0.21812E+02       0.52354E-01       0.30168E+02
      0      1      -0.42036E-01      -0.98668E-08      -0.10503E+00       0.25893E+01       0.41459E-02      -0.34756E+02
      0      1       0.14824E-01       0.29130E-09      -0.94324E-01       0.95579E+01       0.10726E+00       0.11272E+02
      0      1       0.82608E-02      -0.20514E-07      -0.34826E-01       0.16283E+01      -0.38877E-01       0.12358E+02
      0      1      -0.14388E-01      -0.34414E-08       0.15158E+00       0.44111E+01       0.36716E-01       0.13541E+02
      0      1       0.88852E-02       0.53713E-08      -0.14810E+00       0.33749E+00      -0.11877E-01       0.16344E+02
      0      1      -0.63618E-02      -0.22962E-07       0.16506E-01      -0.16792E+02       0.83825E-01       0.43765E+02
      0      1       0.41705E-01      -0.21400E-07       0.89993E-01      -0.10866E+02       0.26959E-01      -0.38107E+00
      0      1      -0.40244E-01       0.10939E-07      -0.10346E+00       0.28756E+01       0.81768E-01      -0.16413E+02
      0      1      -0.40276E-01       0.20400E-07       0.61617E-02       0.17180E+02       0.11516E+00      -0.32140E+02
      0      1      -0.22448E-01       0.48660E-08       0.10691E-01       0.17533E+02      -0.10448E+00      -0.20716E+02
      0      1       0.20266E-01      -0.15732E-07       0.47269E-01       0.36132E+02       0.65638E-01      -0.58327E+01
      0      1       0.30204E-01      -0.67465E-08       0.72295E-01       0.68034E+01       0.12366E+00      -0.23407E+02
      0      1       0.43949E-01       0.23065E-08       0.49786E-01       0.52174E+01      -0.45432E-01       0.17161E+02
      0      1       0.39396E-01       0.82759E-08      -0.15495E-01       0.22579E+01      -0.12928E-01       0.30862E+02
      0      1       0.16375E-01       0.18829E-07       0.23679E-01      -0.11357E+02       0.19382E-01      -0.44407E+02
      0      1      -0.95708E-02       0.10812E-07      -0.12168E+00      -0.28788E+01       0.90570E-01      -0.49806E+01
      0      1      -0.40709E-01       0.65578E-08      -0.75017E-02       0.43938E+02       0.22168E-01      -0.19598E+02
      0      1      -0.18182E-01       0.18068E-07      -0.95900E-01      -0.22941E+02      -0.10357E+00      -0.11570E+02
